"","county","swing","change_query_incidence","state","lat_long.lon","lat_long.lat"
"340","JACKSON",9.980552e-02, -2,"KANSAS", -95.81429,  39.42414
"341","JACKSON",5.453064e-02, -2,"KENTUCKY", -83.38351,  37.55315
"342","JACKSON",2.852077e-02, -2,"LOUISIANA", -91.21761,  30.83740
"343","JACKSON",1.189294e-01, -2,"MICHIGAN", -84.40135,  42.24587
"344","JACKSON",1.855945e-01, -2,"MINNESOTA", -94.98675,  43.62086
"345","JACKSON",2.711612e-02, -2,"MISSISSIPPI", -90.18065,  32.29814
"346","JACKSON",5.665984e-02, -2,"MISSOURI", -89.66621,  37.38227
"347","JACKSON",8.877448e-02, -2,"NORTH CAROLINA", -77.42136,  36.38960
"348","JACKSON",1.515142e-01, -2,"OHIO", -82.63655,  39.05202
"349","JACKSON",5.410095e-02, -2,"OKLAHOMA", -99.45615,  34.58346
"350","JACKSON",4.816099e-02, -2,"OREGON",-122.96699,  42.31346
"351","JACKSON",8.528806e-02, -2,"SOUTH DAKOTA",-101.52481,  43.66481
"352","JACKSON",2.457744e-01, -2,"TENNESSEE", -88.81395,  35.61452
"353","JACK",6.124334e-02, -2,"TEXAS", -98.22130,  33.25604
"354","JACKSON",8.410207e-02, -2,"TEXAS", -96.53564,  28.93409
"355","JACKSON",1.768417e-01, -2,"WEST VIRGINIA", -81.64734,  38.81399
"356","JACKSON",1.729106e-01, -2,"WISCONSIN", -88.16676,  43.32389
"357","LUBBOCK",1.581604e-02, -8,"TEXAS",-101.85529,  33.57782
"358","ROCK ISLAND",7.995749e-02,  3,"ILLINOIS", -90.57875,  41.50948
"359","ROCK",1.207349e-01,  3,"MINNESOTA", -96.32261,  43.69270
"360","ROCK",8.596361e-02,  3,"NEBRASKA", -99.45615,  42.39520
"361","ISLAND",8.071505e-05,  3,"WASHINGTON",-122.57946,  48.19765
"362","ROCK",9.324869e-02,  3,"WISCONSIN", -89.07525,  42.60604
"363","MADISON",1.201064e-02, -2,"ALABAMA", -86.74833,  34.69926
"364","MADISON",1.068481e-01, -2,"ARKANSAS", -90.72246,  35.01317
"365","MADISON",6.354214e-02, -2,"FLORIDA", -83.41293,  30.46938
"366","MADISON",5.636084e-02, -2,"GEORGIA", -83.46794,  33.59568
"367","MADISON",9.109368e-03, -2,"IDAHO",-111.55837,  43.75083
"368","MADISON",1.289669e-01, -2,"ILLINOIS", -90.15705,  38.68255
"369","MADISON",1.683294e-01, -2,"INDIANA", -85.37996,  38.73589
"370","MADISON",1.159423e-01, -2,"IOWA", -93.98784,  41.29224
"371","MADISON",5.141192e-02, -2,"KENTUCKY", -84.31213,  37.71430
"372","MADISON",2.796826e-03, -2,"LOUISIANA", -91.28910,  32.44016
"373","MADISON",3.119804e-03, -2,"MISSISSIPPI", -90.11536,  32.46181
"374","MADISON",2.166553e-01, -2,"MISSOURI", -92.20990,  39.47365
"375","MADISON",9.926650e-02, -2,"MONTANA",-111.88650,  45.46673
"376","MADISON",9.697157e-02, -2,"NEBRASKA", -97.45496,  41.82798
"377","MADISON",8.175758e-02, -2,"NEW YORK", -75.51212,  42.89896
"378","MADISON",1.252696e-01, -2,"NORTH CAROLINA", -79.95949,  36.38542
"379","MADISON",8.998319e-02, -2,"OHIO", -81.04982,  41.77116
"380","MADISON",4.460877e-02, -2,"TENNESSEE", -86.71435,  36.25620
"381","MADISON",7.569836e-02, -2,"TEXAS", -95.91162,  30.94991
"382","MADISON",9.964734e-02, -2,"VIRGINIA", -78.25750,  38.38041
"383","BRYAN",9.212135e-03, -1,"GEORGIA", -81.47184,  32.02366
"384","BRYAN",1.111766e-01, -1,"OKLAHOMA", -96.32261,  33.90213
"385","BINGHAM",5.423273e-02,  2,"IDAHO",-112.36241,  43.21123
"386","INGHAM",2.582018e-02,  2,"MICHIGAN", -84.35420,  42.64689
"387","ALBANY",1.525651e-02, -3,"NEW YORK", -73.75447,  42.65181
"388","SCHENECTADY",2.651459e-02, -3,"NEW YORK", -73.93874,  42.81435
"389","ALBANY",4.591630e-02, -3,"WYOMING",-106.13196,  41.18414
"390","PITT",4.603402e-03, 10,"NORTH CAROLINA", -77.42430,  35.55892
"391","PITTSBURG",9.170064e-02, 10,"OKLAHOMA", -95.84999,  34.71315
"392","GAINES",2.854161e-02,-12,"TEXAS",-102.71351,  32.69875
"393","FORD",1.132507e-01,  9,"ILLINOIS", -88.20716,  40.49886
"394","FORD",4.708201e-02,  9,"KANSAS", -99.75402,  37.63613
"395","KLAMATH",6.816150e-02,  9,"OREGON",-121.61421,  42.69528
"396","FALLS",7.209895e-02,  9,"TEXAS", -97.00684,  31.16364
"397","CHARLOTTE",1.062749e-01,-11,"FLORIDA", -81.90983,  26.89460
"398","CHARLOTTE",6.262184e-02,-11,"VIRGINIA", -78.61150,  37.04674
"399","ADA",2.175131e-02,  8,"IDAHO",-116.24203,  43.47877
"400","SHERMAN",1.174703e-01,  8,"KANSAS", -95.05719,  37.25728
"401","SHERMAN",1.529196e-01,  8,"NEBRASKA", -98.92453,  41.17517
"402","SHERMAN",1.615473e-01,  8,"OREGON",-120.75304,  45.41220
"403","SHERMAN",1.930591e-02,  8,"TEXAS", -96.60888,  33.63566
"404","ANDERSON",1.159166e-01,  0,"KANSAS", -95.31025,  38.28093
"405","ANDERSON",9.240511e-02,  0,"KENTUCKY", -84.98175,  37.99865
"406","GREEN",8.145391e-02,  0,"KENTUCKY", -83.07517,  38.14064
"407","ASHE",1.099165e-01,  0,"NORTH CAROLINA", -81.47184,  36.43397
"408","ANDERSON",5.856205e-02,  0,"SOUTH CAROLINA", -82.65013,  34.50344
"409","GREENVILLE",1.041182e-02,  0,"SOUTH CAROLINA", -82.40002,  34.84850
"410","SPARTANBURG",4.628397e-02,  0,"SOUTH CAROLINA", -81.93272,  34.95160
"411","ANDERSON",4.744604e-02,  0,"TENNESSEE", -84.22788,  36.08096
"412","ANDERSON",7.704892e-02,  0,"TEXAS", -95.99245,  30.48770
"413","GREEN",1.188284e-01,  0,"WISCONSIN", -89.62516,  42.62873
"414","KANE",3.609764e-03,  9,"ILLINOIS", -90.35373,  39.19005
"415","KANE",3.250214e-02,  9,"UTAH",-112.42915,  37.29325
"416","SPOKANE",4.155715e-02,  9,"WASHINGTON",-117.42353,  47.65797
"417","GRAND",6.676569e-02,  4,"COLORADO",-106.06402,  40.07274
"418","KALAMAZOO",3.095461e-02,  4,"MICHIGAN", -85.58563,  42.28965
"419","CREEK",7.875768e-02,  4,"OKLAHOMA", -96.32261,  35.83625
"420","GRAND",2.679170e-02,  4,"UTAH",-109.75917,  39.08579
"421","SCOTT",9.331534e-02, 15,"ARKANSAS", -92.09626,  34.69648
"422","CHEYENNE",5.710355e-02, 15,"COLORADO",-102.62162,  38.80026
"423","SCOTT",2.143763e-01, 15,"ILLINOIS", -90.48799,  39.60949
"424","SCOTT",1.868977e-01, 15,"INDIANA", -85.55581,  41.74106
"425","SCOTT",6.553072e-02, 15,"IOWA", -90.63937,  41.63932
"426","CHEYENNE",8.590053e-02, 15,"KANSAS",-101.79796,  39.78778
"427","SCOTT",3.739269e-02, 15,"KANSAS",-100.89031,  38.56253
"428","SCOTT",5.674125e-02, 15,"KENTUCKY", -84.56415,  38.31724
"429","SCOTT",2.661035e-02, 15,"MINNESOTA", -93.54079,  44.68341
"430","SCOTT",2.207422e-02, 15,"MISSISSIPPI", -91.07600,  33.59308
"431","SCOTT",1.376367e-01, 15,"MISSOURI", -89.62516,  37.03944
"432","CHEYENNE",8.473044e-02, 15,"NEBRASKA",-103.08179,  41.25093
"433","SCOTT",1.247585e-01, 15,"TENNESSEE", -84.52222,  36.39762
"434","SCOTT",1.199162e-01, 15,"VIRGINIA", -82.60512,  36.68158
"435","BURLINGTON",1.726392e-02, -4,"NEW JERSEY", -74.86618,  40.07053
"436","NASH",5.814033e-03,  7,"NORTH CAROLINA", -77.97387,  35.95979
"437","FLORENCE",9.459334e-03,  5,"SOUTH CAROLINA", -79.76609,  34.19734
"438","FLORENCE",1.687197e-01,  5,"WISCONSIN", -88.25200,  45.92242
"439","OKLAHOMA",2.758346e-02,  0,"OKLAHOMA", -97.51954,  35.46887
"440","PRESQUE ISLE",1.594828e-01, -4,"MICHIGAN", -83.59782,  45.57293
"441","KANSAS CITY",8.186799e-03, -1,"MISSOURI", -94.57857,  39.09973
"442","PUEBLO",7.866238e-02,  3,"COLORADO",-104.61010,  38.27060
"443","COLORADO",6.300752e-02,  3,"TEXAS", -97.13389,  29.98556
"444","TULSA",7.408211e-04, -7,"OKLAHOMA", -95.98950,  36.15514
"445","HARRIS",2.706843e-02, -3,"GEORGIA", -84.85679,  32.70327
"446","YORK",7.893053e-02, -3,"MAINE", -70.64826,  43.16175
"447","LANCASTER",2.406206e-02, -3,"NEBRASKA", -96.66381,  40.84715
"448","YORK",4.745923e-02, -3,"NEBRASKA", -97.59209,  40.86739
"449","LANCASTER",4.257209e-02, -3,"PENNSYLVANIA", -76.30418,  40.04033
"450","LEBANON",8.586331e-02, -3,"PENNSYLVANIA", -76.42621,  40.33922
"451","YORK",8.346704e-02, -3,"PENNSYLVANIA", -76.72696,  39.96107
"452","LANCASTER",5.672181e-02, -3,"SOUTH CAROLINA", -80.77090,  34.72043
"453","YORK",2.640108e-02, -3,"SOUTH CAROLINA", -81.24202,  34.99430
"454","HARRIS",5.637166e-02, -3,"TEXAS", -95.31025,  29.77518
"455","LANCASTER",2.122454e-02, -3,"VIRGINIA", -76.46602,  37.77003
"456","YORK",2.414233e-04, -3,"VIRGINIA", -76.50967,  37.23876
"457","LANDER",1.017913e-01,  3,"NEVADA",-116.98524,  40.05101
"458","WINSTON",9.185809e-02, -1,"ALABAMA", -87.34136,  34.16901
"459","GREEN",8.145391e-02, -1,"KENTUCKY", -83.07517,  38.14064
"460","WINSTON",1.892593e-02, -1,"MISSISSIPPI", -89.01793,  33.16503
"461","SALEM",9.903719e-02, -1,"NEW JERSEY", -75.46704,  39.57190
"462","SALEM",5.378882e-02, -1,"VIRGINIA", -80.05476,  37.29347
"463","GREEN",1.188284e-01, -1,"WISCONSIN", -89.62516,  42.62873
"464","DES MOINES",1.545677e-01, -7,"IOWA", -93.61640,  41.58961
"465","COLUMBUS",7.177133e-02,  9,"NORTH CAROLINA", -82.19706,  35.25317
"466","FORD",1.132507e-01,  5,"ILLINOIS", -88.20716,  40.49886
"467","FORD",4.708201e-02,  5,"KANSAS", -99.75402,  37.63613
"468","ROCK",1.207349e-01,  5,"MINNESOTA", -96.32261,  43.69270
"469","ROCK",8.596361e-02,  5,"NEBRASKA", -99.45615,  42.39520
"470","ROCK",9.324869e-02,  5,"WISCONSIN", -89.07525,  42.60604
"471","WILL",3.306137e-02,  6,"ILLINOIS", -88.09008,  41.50547
"472","DICKINSON",1.610150e-01,  6,"IOWA", -95.18492,  43.40494
"473","DICKINSON",7.418340e-02,  6,"KANSAS",NA,NA
"474","DICKINSON",1.458336e-01,  6,"MICHIGAN", -87.86161,  45.96014
"475","BANKS",6.675069e-02, -1,"GEORGIA", -83.46436,  34.37854
"476","HARRIS",2.706843e-02,  4,"GEORGIA", -84.85679,  32.70327
"477","VERNON",6.313592e-02,  4,"LOUISIANA", -93.17797,  31.13200
"478","CAPE GIRARDEAU",9.100947e-02,  4,"MISSOURI", -89.51815,  37.30588
"479","VERNON",1.807916e-01,  4,"MISSOURI", -94.31542,  37.81485
"480","HARRIS",5.637166e-02,  4,"TEXAS", -95.31025,  29.77518
"481","VERNON",1.360540e-01,  4,"WISCONSIN", -88.24816,  42.90444
"482","IDAHO",9.832322e-02, 13,"IDAHO",-114.74204,  44.06820
"483","IDA",1.868539e-01, 13,"IOWA", -95.47778,  42.34187
"484","FALLS",7.209895e-02, 13,"TEXAS", -97.00684,  31.16364
"485","LAUREL",6.414723e-02, -3,"KENTUCKY", -84.18571,  37.06935
"486","MONROE",2.089336e-02,  9,"ALABAMA", -87.32471,  31.52794
"487","MONROE",1.096659e-02,  9,"ARKANSAS", -91.10457,  34.73482
"488","EL DORADO",2.111620e-02,  9,"CALIFORNIA",-120.43576,  38.74264
"489","MONROE",6.065177e-02,  9,"FLORIDA", -81.07547,  25.29745
"490","MONROE",5.314401e-02,  9,"GEORGIA", -83.71323,  33.79484
"491","MONROE",1.412223e-01,  9,"ILLINOIS", -90.18696,  38.27425
"492","MONROE",3.819080e-02,  9,"INDIANA", -84.93691,  40.74505
"493","MONROE",1.875381e-01,  9,"IOWA", -93.10381,  41.52083
"494","MONROE",1.085740e-01,  9,"KENTUCKY", -85.72564,  36.74849
"495","MONROE",1.390569e-01,  9,"MICHIGAN", -83.39771,  41.91643
"496","MONROE",6.107847e-02,  9,"MISSISSIPPI", -88.55653,  33.87736
"497","MONROE",1.894181e-01,  9,"MISSOURI", -92.06652,  39.55088
"498","MONROE",9.776932e-03,  9,"NEW YORK", -74.18681,  41.33065
"499","MONROE",2.926689e-01,  9,"OHIO", -84.36105,  39.44506
"500","MONROE",7.841427e-02,  9,"PENNSYLVANIA", -75.24791,  41.04584
