"","county","swing","change_query_incidence","state","lat_long.lon","lat_long.lat"
"394","LAFAYETTE",1.450414e-02,NA,"MISSISSIPPI", -89.47422,  34.41870
"395","LAFAYETTE",2.398671e-03,NA,"MISSOURI", -93.98784,  39.00313
"396","FAYETTE",1.617627e-02,NA,"OHIO", -84.32689,  41.67338
"397","FAYETTE",1.009331e-02,NA,"PENNSYLVANIA", -79.65021,  39.92723
"398","FAYETTE",9.896861e-04,NA,"TENNESSEE", -89.47422,  35.12574
"399","FAYETTE",1.044007e-02,NA,"TEXAS", -96.83510,  29.88964
"400","FAYETTE",1.131924e-02,NA,"WEST VIRGINIA", -81.10399,  38.05289
"401","LAFAYETTE",2.190066e-02,NA,"WISCONSIN", -90.07468,  42.62932
"402","COLUMBUS",1.942263e-01,NA,"NORTH CAROLINA", -82.19706,  35.25317
"403","ADA",3.312106e-02,NA,"IDAHO",-116.24203,  43.47877
"404","SHERMAN",6.146237e-03,NA,"KANSAS", -95.05719,  37.25728
"405","SHERMAN",2.218191e-02,NA,"NEBRASKA", -98.92453,  41.17517
"406","SHERMAN",3.878323e-03,NA,"OREGON",-120.75304,  45.41220
"407","SHERMAN",1.317002e-02,NA,"TEXAS", -96.60888,  33.63566
"408","CHARLOTTE",8.871271e-03,NA,"FLORIDA", -81.90983,  26.89460
"409","CHARLOTTE",1.417993e-01,NA,"VIRGINIA", -78.61150,  37.04674
"410","CHARLOTTESVILLE",NA,NA,"VIRGINIA", -78.47694,  38.03018
"411","JACKSON",2.160131e-02,NA,"ALABAMA", -87.89444,  31.50905
"412","JACKSON",2.254755e-01,NA,"ARKANSAS", -91.13530,  35.64796
"413","JACKSON",9.310748e-03,NA,"COLORADO",-106.25221,  40.68192
"414","JACKSON",5.686858e-03,NA,"FLORIDA", -81.65915,  30.32976
"415","JACKSON",2.179814e-01,NA,"GEORGIA", -83.96602,  33.29457
"416","JACKSON",1.100340e-02,NA,"ILLINOIS", -89.32270,  37.72183
"417","JACKSON",1.954113e-03,NA,"INDIANA", -86.05296,  38.87943
"418","JACKSON",1.030798e-01,NA,"IOWA", -90.52578,  42.15607
"419","JACKSON",1.661783e-02,NA,"KANSAS", -95.81429,  39.42414
"420","JACKSON",1.012674e-02,NA,"KENTUCKY", -83.38351,  37.55315
"421","JACKSON",8.362304e-03,NA,"LOUISIANA", -91.21761,  30.83740
"422","JACKSON",9.838838e-03,NA,"MICHIGAN", -84.40135,  42.24587
"423","JACKSON",1.402511e-02,NA,"MINNESOTA", -94.98675,  43.62086
"424","JACKSON",2.019211e-02,NA,"MISSISSIPPI", -90.18065,  32.29814
"425","JACKSON",4.171592e-02,NA,"MISSOURI", -89.66621,  37.38227
"426","JACKSON",2.834407e-01,NA,"NORTH CAROLINA", -77.42136,  36.38960
"427","JACKSON",1.838710e-02,NA,"OHIO", -82.63655,  39.05202
"428","JACKSON",2.081889e-01,NA,"OKLAHOMA", -99.45615,  34.58346
"429","JACKSON",3.012214e-02,NA,"OREGON",-122.96699,  42.31346
"430","JACKSON",1.816524e-02,NA,"SOUTH DAKOTA",-101.52481,  43.66481
"431","JACKSON",4.258133e-02,NA,"TENNESSEE", -88.81395,  35.61452
"432","JACK",7.237626e-03,NA,"TEXAS", -98.22130,  33.25604
"433","JACKSON",9.944332e-03,NA,"TEXAS", -96.53564,  28.93409
"434","JACKSON",1.318979e-02,NA,"WEST VIRGINIA", -81.64734,  38.81399
"435","JACKSON",1.417740e-02,NA,"WISCONSIN", -88.16676,  43.32389
"436","COLUMBUS",1.942263e-01,NA,"NORTH CAROLINA", -82.19706,  35.25317
"437","GREENWOOD",5.483485e-03,NA,"KANSAS", -96.15270,  37.90259
"438","GREEN",9.931709e-05,NA,"KENTUCKY", -83.07517,  38.14064
"439","WOOD",4.579471e-03,NA,"OHIO", -83.67739,  41.34785
"440","GREENVILLE",2.282033e-01,NA,"SOUTH CAROLINA", -82.40002,  34.84850
"441","GREENWOOD",1.297972e-01,NA,"SOUTH CAROLINA", -82.16179,  34.19540
"442","WOOD",1.207394e-02,NA,"TEXAS", -95.35209,  32.82962
"443","WOOD",3.829009e-02,NA,"WEST VIRGINIA", -81.47184,  39.21543
