"","Region","query_incidence","daterange","City","DMA"
"472",NA,34,"08-12",NA,"Fargo-Valley City ND"
"473",NA,34,"08-12",NA,"Roanoke-Lynchburg VA"
"474",NA,34,"08-12",NA,"Alpena MI"
"475",NA,33,"08-12",NA,"Chattanooga TN"
"476",NA,33,"08-12",NA,"Missoula MT"
"477",NA,33,"08-12",NA,"Presque Isle ME"
"478",NA,33,"08-12",NA,"Columbus-Tupelo-West Point MS"
"479",NA,33,"08-12",NA,"Jonesboro AR"
"480",NA,33,"08-12",NA,"Flint-Saginaw-Bay City MI"
"481",NA,32,"08-12",NA,"Johnstown-Altoona PA"
"482",NA,32,"08-12",NA,"Greenville-New Bern-Washington NC"
"483",NA,32,"08-12",NA,"Alexandria LA"
"484",NA,32,"08-12",NA,"Youngstown OH"
"485",NA,32,"08-12",NA,"Terre Haute IN"
"486",NA,32,"08-12",NA,"Elmira NY"
"487",NA,32,"08-12",NA,"Panama City FL"
"488",NA,32,"08-12",NA,"Bend OR"
"489",NA,32,"08-12",NA,"Toledo OH"
"490",NA,32,"08-12",NA,"Shreveport LA"
"491",NA,31,"08-12",NA,"Marquette MI"
"492",NA,31,"08-12",NA,"Augusta GA"
"493",NA,31,"08-12",NA,"Traverse City-Cadillac MI"
"494",NA,31,"08-12",NA,"Billings, MT"
"495",NA,31,"08-12",NA,"Bowling Green KY"
"496",NA,30,"08-12",NA,"Evansville IN"
"497",NA,30,"08-12",NA,"Butte-Bozeman MT"
"498",NA,30,"08-12",NA,"Wheeling WV-Steubenville OH"
"499",NA,30,"08-12",NA,"Biloxi-Gulfport MS"
"500",NA,30,"08-12",NA,"Baton Rouge LA"
"501",NA,30,"08-12",NA,"Knoxville TN"
"502",NA,29,"08-12",NA,"Charleston-Huntington WV"
"503",NA,29,"08-12",NA,"Lake Charles LA"
"504",NA,29,"08-12",NA,"Springfield MO"
"505",NA,29,"08-12",NA,"Paducah KY-Cape Girardeau MO-Harrisburg-Mount Vernon IL"
"506",NA,28,"08-12",NA,"Parkersburg WV"
"507",NA,26,"08-12",NA,"Meridian MS"
"508",NA,25,"08-12",NA,"Tri-Cities TN-VA"
"509",NA,24,"08-12",NA,"Lafayette LA"
"510",NA,24,"08-12",NA,"Bluefield-Beckley-Oak Hill WV"
"511",NA,24,"08-12",NA,"Hattiesburg-Laurel MS"
"512",NA,NA,"08-12",NA,"Glendive MT"
"513","District of Columbia",100,"12-16",NA,NA
"514","New York",82,"12-16",NA,NA
"515","New Jersey",82,"12-16",NA,NA
"516","Maryland",73,"12-16",NA,NA
"517","California",73,"12-16",NA,NA
"518","Massachusetts",71,"12-16",NA,NA
"519","Connecticut",68,"12-16",NA,NA
"520","Florida",61,"12-16",NA,NA
"521","Texas",60,"12-16",NA,NA
"522","Nevada",60,"12-16",NA,NA
"523","Illinois",60,"12-16",NA,NA
"524","Arizona",56,"12-16",NA,NA
"525","Washington",55,"12-16",NA,NA
"526","Colorado",54,"12-16",NA,NA
"527","Delaware",52,"12-16",NA,NA
"528","Virginia",52,"12-16",NA,NA
"529","Rhode Island",52,"12-16",NA,NA
"530","New Mexico",51,"12-16",NA,NA
"531","New Hampshire",50,"12-16",NA,NA
"532","Hawaii",49,"12-16",NA,NA
